ID;name;count
330;No name;0
331;Chikun;1
332;Giwa;1
333;Kaura;4
334;Igabi;4
335;Ikara;3
336;No name;0
337;JemaA;2
338;Kachia;5
339;Kaduna N;1
340;No name;0
341;Kaura E;1
342;Kajuru;1
343;Kuban;2
344;No name;0
345;Lere;10
346;Makarafi;2
347;No name;0
348;Sanga;3
349;Soba;3
350;No name;0
351;Zaria;3
352;Kaduna S;13
353;No name;0
354;Albasu;4
355;Bagwai;10
356;No name;0
357;Bichi;6
358;No name;0
359;Dala;8
360;Dambatta;2
361;Dawakin Kudu;16
362;Dawakin Tofa;3
363;Doguwa;5
364;Fagge;6
365;No name;0
366;Garko;6
367;Garum Malam;6
368;Gaya;2
369;Gezawa;5
370;Gwale;4
371;Gwarzo;2
372;Kabo;5
373;Kano Municipal;11
374;Karaye;32
375;Kibiya;4
376;Kiru;15
377;Kumbotso;3
378;Kunchi;2
379;No name;0
380;Madobi;7
381;Makoda;1
382;No name;0
383;Nasarawa;81
384;No name;0
385;Rimin Gado;3
386;No name;0
387;Shanono;6
388;No name;0
389;No name;0
390;Tarauni;2
391;Tofa;4
392;No name;0
393;Tudun Wada;3
394;Ungogo;2
395;Warawa;3
396;Wudil;4
397;Bakori;6
398;Batagarawa;9
399;Batsari;19
400;Bindawa;16
401;Charanchi;44
402;Dan Musa;147
403;Danume;57
404;Danja;71
405;Daura;14
406;No name;0
407;Dutsin MA;8
408;Faskari;12
409;Funtuna;53
410;Ingawa;13
411;Kafur;47
412;Kankara;31
413;No name;0
414;Katsina;8
415;Kurfi;11
416;Kusada;18
417;Malumafshi;22
418;Mani;31
419;Mutazu;94
420;Masawa;24
421;Rimi;15
422;Sabuwa;36
423;Safana;21
424;Sandamu;10
425;Aleiro;13
426;Argungu;12
427;Augie;7
428;Birnin Kebbi;13
429;Bunza;20
430;Fakai;53
431;Gwandu;29
432;Jega;46
433;Kalgo;15
434;Kokko;59
435;Maiyama;36
436;Ngaski;172
437;No name;0
438;Shanga;134
439;No name;0
440;Wasagu Danko;112
441;Yauri;165
442;Zuru;28
443;Adavi;1
444;Ajaokuta;4
445;Ankpa;14
446;No name;0
447;Dekina;27
448;Ibaji;7
449;Idah;8
450;Igalamela Odolu;8
451;Ijumu;10
452;Kabba Bunu;6
453;No name;0
454;Lokoja;4
455;Mopa Muro;5
456;Ofu;9
457;Ogori Magongo;2
458;Okehi;6
459;Okene;6
460;Olamaboro;9
461;Omala;2
462;Yagaba East;13
463;Yagba West;14
464;Asa;3
465;Edu;9
466;No name;0
467;No name;0
468;Iloronin East;6
469;Iloronin South;1
470;Iloronin West;5
471;No name;0
472;Isin;6
473;Kaiama;30
474;Moro;5
475;No name;0
476;Oke Ero;3
477;Oyun;6
478;Pategi;13
479;Agege;1
480;Ajeromi Ifelodun;1
481;Alimosho;1
482;No name;0
483;Ifako;16
484;Ikeja;6
485;Oshodi Isolo;1
486;Mushin;1
487;No name;0
488;Akwanga;10
489;Awe;12
490;Doma;11
491;Karu;8
492;Keana;5
493;Keffi;17
494;Kokona;10
495;Lafia;7
496;No name;0
497;No name;0
498;No name;0
499;Toto;20
500;Wamba;7
501;No name;0
502;Agwara;1
503;Bida;1
504;Bosso;20
505;Chanchaga;1
506;No name;0
507;Gbako;3
508;no name;0
509;No name;0
510;Kontagora;1
511;Lapai;8
512;No name;0
513;Magama;4
514;Mariga;6
515;Mashegu;4
516;No name;0
517;Munya;10
518;Paikoro;2
519;No name;0
520;No name;0
521;Shiroro;3
522;Suleja;5
523;Tafa;2
524;No name;0
525;No name;0
526;No name;0
527;Ado Odo;7
528;No name;0
529;Evekoro;2
530;Ifo;2
531;Ijebu East;3
532;Ijebu NE;8
533;Ijebu North;5
534;Ijebu Ode;5
535;No name;0
536;Obafemi Owode;6
537;Odeda;6
538;Odogbolu;2
539;No name;0
540;Shagamu;6
541;Akoko NE;4
542;Akoko NW;4
543;Akoko SE;2
544;Akoko SW;8
545;Akure N;9
546;Akure S;6
547;Ese Odo;1
548;Idanre;1
549;No name;0
550;Ile Oluji;4
551;Irele;5
552;Odigbo;4
553;Okitipupa;5
554;Ondo East;4
555;Ondo West;1
556;No name;0
557;Owo;20
558;Ayedade;3
559;No name;0
560;Atakunmosa East;4
561;No name;0
562;Boluwaduro;4
563;No name;0
564;Ede North;1
565;Ede South;8
566;No name;0
567;Ejigbo;3
568;Ife central;6
569;Ife east;5
570;No name;0
571;No name;0
572;No name;0
573;No name;0
574;Ila;2
575;No name;0
576;Ibarapa E;9
577;Ibarapa N;6
578;Ido;9
579;Irepo;5
580;Iseyin;3
581;No name;0
582;Kajola;3
583;Lagelu;4
584;Ogbomosho N;2
585;Ogbomosho South;3
586;Ogo Oluwa;1
587;Olorunsogo;1
588;Olu Yole;6
589;Ona Ara;4
590;Orelope;1
591;Ori Ire;1
592;Oyo East;1
593;No name;0
594;Saki East;2
595;No name;0
596;Barkin Laydy ;12
597;No name;0
598;Bokkos;7
599;Jos East ;2
600;Jos North;14
601;Jos South;14
602;Kanam;13
603;Kanke;2
604;Langtan North;12
605;Langtan South;5
606;No name;0
607;Mikang;2
608;Panksin ;2
609;No name;0
610;Riyom;8
611;Shendam ;4
612;Wase;28
613;Abua Odual;1
614;Ahoda East;3
615;Ahoda West ;3
616;Asari Toru;1
617;Eleme;1
618;Emuoha;3
619;Etche;3
620;Gokana;1
621;Ikwerre;13
622;Khana;1
623;No name;0
624;Ogba Egbema;4
625;Ogo Bolo;1
626;Okrika;2
627;Ommuma;4
628;Oyigbo;3
629;Port Harcourt;1
630;No name;0
631;Binji;8
632;No name;0
633;Dange Shuni;23
634;No name;0
635;Gwadabawa;3
636;No name;0
637;Kebbe;1
638;Kware;15
639;No name;0
640;Shagari;4
641;Silame;2
642;Sokoto North;2
643;Sokoto South;3
644;Tambuwal;5
645;Tureta;2
646;Wamako;8
647;Wurno;7
648;Yabo;3
649;Ardo Kola ;2
650;Bali;3
651;Donga;6
652;Gassol;15
653;Ibi;1
654;Jalingo;15
655;Karim Lamido;3
656;Lau;3
657;Wukari;2
658;No name;0
659;Zing;1
660;Bade;2
661;Bursari;1
662;Damaturu;1
663;Fika;12
664;Fune;1
665;Geidam;1
666;Gujba;28
667;Gulani;4
668;Jakusko;1
669;Karasuwa;3
670;No name;0
671;Nguru;6
672;Potiskum;4
673;No name;0
674;Anka;61
675;Bakura;4
676;No name;0
677;Bukkuyum;3
678;Bungudu;6
679;Gummi;6
680;Gusau;24
681;Kaura Namoda;6
682;Maradun;19
683;Maru;41
684;Shinkafi;11
685;Talata Mafara;9
686;Tsafe;7
687;Zurmi;7
688;Udung Uko;1
689;Baruten;7
690;Bagudo;54
691;Gudu;2
692;No name;0
693;Gada;8
694;Sabon Birini;4
695;Kaita;15
696;Jibia;12
697;Mashi;10
698;No name;0
699;Zango;14
700;Baure;4
701;Sule Tankarkar;2
702;Maigatari;8
703;Machina;4
704;Yusufari;12
705;Yunusari;5
706;No name;0
707;No name;0
708;Kukawa;4
709;Monguno;17
710;Ngala;78
711;Kala Balge;40
712;Ikorodu;14
713;Kosofe;4
714;Lagos Island;3
715;Lagos Mainland;2
716;Shomolu;3
717;Saki West ;3
718;No name;0
719;Yewa North;2
720;Imeko Afon;3
721;Iwajowa;1
722;Atisbo;6
723;Borgu;7
724;Isa;2
725;Dandi;61
726;Arewa Dandi;114
727;Bama;12
728;Gwoza;30
729;Madagali;1
730;Michika;4
731;Mubi North;1
732;No name;0
733;No name;0
734;Fufore;5
735;Jada;1
736;Ganye;9
737;Toungo;2
738;Gashaka;2
739;Saraduna;3
740;Kurmi;1
741;Ussa;14
742;Takum;4
743;Kwande;12
744;Obanliku;5
745;No name;0
746;Etung;2
747;Akampka;7
748;Odukpani;1
749;Epe;1
750;Ojo;7
751;Ogun waterside;8
752;Andoni;2
753;Bonny;3
754;Opobo;4
755;Mbo;8
756;Oron;2
757;No name;0
758;Ibeno;1
759;No name;0
760;Degema;2
761;Akuku Toru;10
762;Nembe;2
763;Southern Ijaw;2
764;Ekeremor;6
765;Burutu;1
766;No name;0
767;Wari North;2
768;Ilaje;1
769;Ibeju Lekki;1
770;No name;0
771;No name;0
772;No name;0
773;Akpabujo;3
