ID;name;count
34;Sokoto;102
22;Kebbi;1155
27;Niger;78
24;Kwara;175
31;Oyo;117
28;Ogun;65
25;Lagos;63
29;Ondo;85
30;Osun;61
13;Ekiti;59
23;Kogi;157
12;Edo;368
10;Delta;70
6;Bayelsa;32
33;Rivers;66
17;Imo;176
4;Anambra;404
14;Enugu;223
11;Ebonyi;222
9;CrossRiver;33
3;AkwaIbom;81
7;Benue;252
35;Taraba;75
2;Adamawa;49
8;Borno;482
15;Fct;74
26;Nasarawa;216
32;Plateau;134
16;Gombe;40
36;Yobe;85
19;Kaduna;59
5;Bauchi;247
18;Jigawa;135
20;Kano;193
21;Katsina;892
37;Zamfara;213
1;Abia;179
